level	word	german	english	freq_rank
A1	der Automat	Die Fahrkarten gibt es nur am Automaten.	Tickets are only available at the vending machine.	26944
A1	automatisch	Du musst nichts machen. Das geht automatisch.	You don't have to do anything. It happens automatically.	7700
A1	das Baby, -s	Mein Kind ist noch ein Baby.	My child is still a baby.	371
A1	die Bäckerei	Ich geh mal schnell zur Bäckerei.	I'll quickly go to the bakery.	11355
A1	das Bad	Wir haben kein großes Bad.	We don't have a big bathroom.	1828
A1	baden	Ich bade nicht so gern, ich dusche lieber.	I don't like bathing much; I prefer showering.	4910
A1	die Bahn(1)	Wir fahren lieber mit der Bahn.	We prefer traveling by train.	4898
A1	die Bahn(2)	Ich nehme die nächste Bahn.	I'll take the next train.	4898
A1	der Bahnhof	Komme ich hier zum Bahnhof?	Am I here for the train station?	3751
A1	der Bahnsteig	Auf welchem Bahnsteig fährt der Zug?	On which platform does the train depart?	17093
A1	bald	Ich komme bald.	I'll come soon.	388
A1	der Balkon	Die Wohnung hat auch einen kleinen Balkon.	The apartment also has a small balcony.	7317
A1	die Banane, -n	Drei Bananen, bitte!	Three bananas, please!	9786
A1	die Bank(1)	Die Bank schließt schon um vier Uhr.	The bank closes at four o'clock.	1229
A1	die Bank(2)	Er sitzt im Park auf einer Bank und liest.	He sits on a bench in the park and reads.	1229
A1	bar	Muss ich bar zahlen oder geht‘s auch mit Karte?	Do I have to pay in cash or can I use a card?	1126
A1	der Bauch	Seit gestern tut mir der Bauch weh.	My stomach has been hurting since yesterday.	2384
A1	der Baum, -ä, e	Vorsicht, fahr nicht an den Baum!	Careful, don’t drive into the tree!	1741
A1	der Beamte, -n	Fragen Sie die Beamtin am Schalter acht!	Ask the female official at counter eight!	8541
A1	bedeuten	Was bedeutet das Wort?	What does the word mean?	1459
A1	beginnen	Das Spiel beginnt um 15.30 Uhr.	The game starts at 3:30 PM.	1410
A1	bei(1)	Offenbach liegt bei Frankfurt.	Offenbach is near Frankfurt.	86
A1	bei(2)	Ich wohne bei meinen Eltern.	I live with my parents.	86
A1	bei(3)	Bei uns regnet es heute.	It’s raining here today.	86
A1	bei(4)	Er arbeitet bei der Polizei.	He works at the police station.	86
A1	beide	Beide Eltern arbeiten.	Both parents work.	319
A1	beide	Wir kommen beide.	We are both coming.	319
A1	das Bein, -e	Mein rechtes Bein tut weh.	My right leg hurts.	1627
A1	das Beispiel, -e	Kannst du mir ein Beispiel sagen?	Can you give me an example?	1095
A1	zum Beispiel/z. B.	Viele meiner Verwandten, z. B. meine beiden Brüder, arbeiten auch hier.	Many of my relatives, e.g., my two brothers, also work here.	10000000
A1	bekannt	Picasso ist sehr bekannt.	Picasso is very well known.	1090
A1	der/die Bekannte	Ein Bekannter von mir heißt Klaus.	A friend of mine is named Klaus.	10000000
A1	bekommen(1)	Haben Sie meinen Brief bekommen?	Did you receive my letter?	374
A1	bekommen(2)	Was bekommen Sie?	What do you get?	374
A1	bekommen(3)	Dieses Medikament bekommen Sie in der Apotheke.	You can get this medication at the pharmacy.	374
A1	benutzen	Die Aufzüge bitte nicht benutzen!	Please do not use the elevators.	1037
A1	der Beruf, -e	Was sind Sie von Beruf?	What is your profession?	2437
A1	der Beruf, -e	Was ist Ihr Beruf?	What is your job?	2437
A1	besetzt(1)	Die Nummer ist immer besetzt.	The number is always busy.	4623
A1	besetzt(2)	Der Platz ist besetzt.	The seat is occupied.	4623
A1	besichtigen	Ich möchte gern den Dom besichtigen.	I would like to visit the cathedral.	16501
A1	besser(1)	Es geht mir schon besser.	I’m already feeling better.	204
A1	best-(1)	Am besten treffen wir uns morgen.	It’s best if we meet tomorrow.	10000000
A1	bestellen(1)	Wir möchten bestellen, bitte.	We would like to order, please.	2976
A1	bestellen(2)	Dieses Buch haben wir nicht – sollen wir es für Sie bestellen?	We don't have this book – should we order it for you?	2976
A1	besuchen	Darf ich dich besuchen?	May I visit you?	1330
A1	das Bett, -en	Wir brauchen noch ein Kinderbett.	We need an extra crib.	554
A1	bezahlen	Wo muss ich bezahlen?	Where do I need to pay?	960
A1	das Bier	Noch ein Bier bitte.	Another beer, please.	1014
A1	das Bild, -er	Hast du ein Bild von deinem Sohn?	Do you have a picture of your son?	957
A1	billig(1)	Die Jacke kostet nur 10 Euro!	The jacket costs only 10 euros!	4577
A1	billig(2)	Die ist aber billig!	It’s really cheap!	4577
A1	die Birne, -n	Ein Kilo Birnen, bitte!	A kilo of pears, please!	8757
A1	bis(1)	Ich fahre nur bis Stuttgart.	I only travel as far as Stuttgart.	155
A1	bis(2)	Ich warte bis morgen.	I will wait until tomorrow.	155
A1	bisschen	Ich spreche Englisch, Französisch und ein bisschen Deutsch.	I speak English, French, and a little German.	400
A1	bitte(1)	Eine Tasse Kaffee, bitte!	A cup of coffee, please!	88
A1	bitte(2)	Sprechen Sie bitte leise!	Please speak quietly!	88
A1	die Bitte, -n	Ich habe noch eine Bitte.	I have one more request.	88
A1	bitten	Darf ich Sie um etwas bitten?	May I ask you for something?	917
A1	bitter	Der Kaffee schmeckt bitter.	The coffee tastes bitter.	9243
A1	bleiben(1)	Ich bleibe heute zu Hause.	I am staying home today.	268
A1	bleiben(2)	Wir bleiben nur bis morgen.	We are staying only until tomorrow.	268
A1	der Bleistift, -e	Hast du einen Bleistift?	Do you have a pencil?	12388
A1	der Blick	Von diesem Hotel hat man einen guten Blick auf den Rhein.	From this hotel, you have a good view of the Rhine.	1275
A1	die Blume, -n	Gefallen dir die Blumen?	Do you like the flowers?	4646
A1	der Bogen	Schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.	Please write your answers on the answer sheet.	6494
A1	böse	Sie ist böse auf mich.	She is angry with me.	798
A1	brauchen	Brauchst du die Zeitung noch?	Do you still need the newspaper?	289
A1	breit	Wie breit ist der Schrank?	How wide is the cupboard?	5213
A1	der Brief, -e	Haben Sie einen Brief für mich?	Do you have a letter for me?	1087
A1	die Briefmarke, -n	Kaufst du bitte Briefmarken bei der Post.	Please buy stamps at the post office.	20532
A1	bringen(1)	Bringen Sie mir bitte noch einen Kaffee!	Please bring me another coffee!	285
A1	bringen(2)	Wir müssen ihn zum Arzt bringen.	We need to take him to the doctor.	285
A1	das Brot, -e(1)	Haben Sie auch Weißbrot?	Do you also have white bread?	2535
A1	das Brot, -e(2)	Nimm noch ein paar Brote für die Fahrt mit.	Take a few loaves of bread for the trip.	2535
A1	das Brötchen	Möchtest du Brötchen zum Frühstück?	Do you want rolls for breakfast?	8261
A1	der Bruder, -ü	Sein Bruder arbeitet auch hier.	His brother also works here.	341
A1	das Buch, -ü, er(1)	Gute Bücher sind oft sehr teuer.	Good books are often very expensive.	723
A1	das Buch, -ü, er(2)	In diesem Wörterbuch finden Sie mehr als 20.000 Wörter.	In this dictionary, you’ll find more than 20,000 words.	723
A1	der Buchstabe, -n	Diesen Buchstaben gibt es in meiner Sprache nicht.	This letter doesn’t exist in my language.	17588
A1	buchstabieren	Bitte buchstabieren Sie Ihren Namen.	Please spell your name.	14221
A1	der Bus, -se	Wann kommt der nächste Bus?	When is the next bus coming?	1605
A1	die Butter	Für mich bitte ein Brötchen mit Butter und Käse.	For me, a roll with butter and cheese, please.	4847
A1	das Café, -s	Sollen wir uns im Café treffen?	Shall we meet at the café?	4470
A1	die CD, -s	Bring bitte deine Lieblings-CD mit.	Please bring your favorite CD.	9288
A1	der Chef	Wir haben eine neue Chefin.	We have a new female boss.	1036
A1	circa/ca.	Von Mainz nach Frankfurt sind es circa fünfzig Kilometer.	From Mainz to Frankfurt is approximately fifty kilometers.	10000000
A1	der Computer	Wann bekommst du deinen neuen Computer?	When will you get your new computer?	1231
A1	da(1)	Da hinten ist er ja.	There he is over there.	44
A1	da(2)	Wir sprechen gerade über Paul. Da kommt er ja gerade.	We’re talking about Paul. There he comes.	44
A1	da(3)	Ich nehme das da.	I'll take that one there.	44
A1	da(4)	Ist Herr Klein schon da?	Is Mr. Klein already here?	44
A1	die Dame, -n(1)	Damen (an der Toilette)	Ladies (at the toilet)	1051
A1	die Dame, -n(2)	Sehr geehrte Damen und Herren!	Dear ladies and gentlemen!	1051
A1	daneben	Du kennst doch die Post. Daneben ist die Bank.	You know the post office. Next to it is the bank.	3145
A1	danken	Ich danke Ihnen für die Einladung.	Thank you for the invitation.	1481
A1	der Dank(1)	Vielen Dank!	Many thanks!	346
A1	der Dank(2)	Herzlichen Dank!	Heartfelt thanks!	346
A1	danke	Soll ich Ihnen helfen? - Nein, danke!	Should I help you? - No, thank you!	98
A1	dann	Ich muss noch schnell zur Post, dann komme ich.	I need to quickly go to the post office, then I'll come.	60
A1	das Datum	Bitte schreiben Sie noch das Datum auf das Formular.	Please also write the date on the form.	5267
A1	dauern	Wie lange dauert der Film?	How long does the movie last?	1528
A1	dein-(1)	Ist das dein Auto?	Is that your car?	10000000
A1	dein-(2)	Ist das deins?	Is that yours?	10000000
A1	denn	Ich kann nicht kommen, denn ich bin krank.	I can’t come because I’m sick.	101
A1	der, die, das(1)	Ich nehme das da.	I’ll take that one there.	10
A1	der, die, das(2)	Hier ist der Brief, den du suchst.	Here is the letter you’re looking for.	10
A1	der, die, das(3)	Die Fahrkarte bekommst du am Bahnhof.	You get the ticket at the station.	10
A1	dich	Die Blumen sind für dich.	The flowers are for you.	36
A1	dies-(1)	Ich nehme lieber diesen Kuchen.	I’d prefer to take this cake.	10000000
A1	dir	Gefallen dir die Blumen?	Do you like the flowers?	45
A1	die Disco	Heute Abend gehen wir in die Disco tanzen.	Tonight, we’re going to dance at the disco.	13988
A1	der Doktor	Meine Tochter ist krank. Wir gehen zum Doktor.	My daughter is sick. We’re going to the doctor.	670
A1	das Doppelzimmer	Wollen Sie ein Doppelzimmer oder ein Einzelzimmer?	Would you like a double room or a single room?	31469
A1	das Dorf, -ö, er	Meine Familie lebt in einem Dorf.	My family lives in a village.	1531
A1	dort, -her, -hin(1)	Deine Tasche kannst du dorthin stellen.	You can place your bag over there.	231
A1	dort, -her, -hin(2)	Dort ist unser Haus.	There is our house.	231
A1	draußen	Wollen wir draußen sitzen?	Do we want to sit outside?	410
A1	drucken	Bitte drucke das Formular für mich.	Please print the form for me.	8313
A1	der Drucker	Mein Drucker ist kaputt.	My printer is broken.	15218
A1	drücken	Drück hier, dann geht der Computer an.	Press here, then the computer will turn on.	2356
A1	durch	Am besten gehen Sie durch die Breite Straße.	It’s best to go through Breite Street.	194
A1	die Durchsage, -n	Ich habe die Durchsage nicht verstanden.	I didn’t understand the announcement.	8808
A1	dürfen(1)	Sie dürfen hier nicht rauchen.	You’re not allowed to smoke here.	630
A1	dürfen(2)	Darf ich Sie zu einem Kaffee einladen?	May I invite you to a coffee?	630
A1	dürfen(3)	Es darf nicht mehr als 15 Euro kosten.	It must not cost more than 15 euros.	630
A1	der Durst	Hast du etwas zu trinken? Ich habe großen Durst.	Do you have something to drink? I’m very thirsty.	3995
A1	(sich) duschen	Ich bade nicht so gern, ich dusche lieber.	I don’t like bathing much; I prefer showering.	3902
A1	die Dusche	Unsere Wohnung hat nur eine Dusche.	Our apartment only has a shower.	3226
A1	die Ecke, -n	An der nächsten Ecke links.	Turn left at the next corner.	1655
A1	die Ehefrau, -en/der Ehemann, -ä, er	Das ist mein (Ehe-) Mann/meine (Ehe-) Frau.	This is my (married) man/my (married) woman.	3712
A1	das Ei, -er	Möchtest du ein Ei zum Frühstück?	Would you like an egg for breakfast?	2892
A1	eilig	Hast du es eilig?	Are you in a hurry?	2735
A1	ein-(1)	Ich nehme ein Bier. Willst du auch eins?	I'll have a beer. Do you want one too?	10000000
A1	ein-(2)	Ist hier einer, der das kann?	Is there someone here who can do that?	10000000
A1	einfach(1)	Die Prüfung ist ganz einfach.	The exam is very simple.	134
A1	einfach(2)	Hin und zurück? – Nein, bitte nur einfach.	Round trip? – No, just one way, please.	134
A1	einfach(3)	Ich brauche nur ein einfaches Zimmer.	I only need a simple room.	134
A1	der Eingang	Der Eingang ist um die Ecke.	The entrance is around the corner.	4420
A1	einkaufen	Ich muss noch für morgen einkaufen.	I still need to shop for tomorrow.	3282
A1	einladen	Darf ich Sie zu einem Kaffee einladen?	May I invite you for a coffee?	2960
A1	die Einladung	Danke für die Einladung!	Thank you for the invitation!	2754
A1	einmal	Diese Prüfung mache ich nicht noch einmal.	I won't take this exam again.	309
A1	einsteigen	Schnell, steig ein, der Zug fährt gleich.	Quick, get in, the train is leaving soon.	4248
A1	der Eintritt	Der Preis für den Eintritt ist 5 Euro.	The entrance fee is 5 euros.	7686
A1	das Einzelzimmer	Haben Sie noch ein Einzelzimmer?	Do you have a single room available?	24092
A1	die Eltern (pl.)	Meine Eltern leben in Spanien.	My parents live in Spain.	593
A1	die E-Mail, -s	Ich habe Ihre E-Mail nicht bekommen.	I didn’t receive your email.	5072
A1	der Empfänger, –	Auf dem Brief steht dein Name, also bist du der Empfänger.	Your name is on the letter, so you are the recipient.	11979
A1	empfehlen	Welchen Wein können Sie mir empfehlen?	Which wine can you recommend to me?	5291
A1	enden	Die Straße endet hier.	The street ends here.	2073
A1	das Ende(1)	Sie wohnt am Ende der Straße.	She lives at the end of the street.	386
A1	das Ende(2)	Er bekommt sein Geld am Ende des Monats.	He gets his money at the end of the month.	386
A1	entschuldigen	Entschuldigen Sie bitte!	Please excuse me!	550
A1	die Entschuldigung	Entschuldigung! – Bitte.	Apologies! – Please.	560
A1	er	Er heißt Ali.	His name is Ali.	14
A1	das Ergebnis, -se	Das Ergebnis des Tests bekommen Sie in zwei Wochen.	You will receive the test results in two weeks.	3499
A1	erklären	Kannst du mir das erklären?	Can you explain that to me?	744
A1	erlauben	Rauchen ist hier nicht erlaubt.	Smoking is not allowed here.	2166
A1	der Erwachsene, -n	Dieser Film ist nur für Erwachsene.	This movie is for adults only.	3855
A1	erzählen	Wir müssen euch etwas erzählen!	We need to tell you something!	547
A1	es	Es regnet.	It is raining.	8
A1	essen	Was gibt es zu essen?	What is there to eat?	266
A1	das Essen	Das Essen ist heute sehr gut.	The food is very good today.	266
A1	euer	Euer Kurs beginnt heute.	Your course starts today.	569
A1	fahren	Ich fahre mit dem Auto zur Arbeit.	I drive to work by car.	372
A1	der Fahrer	Bitte nicht mit dem Fahrer sprechen!	Please do not speak with the driver!	2183
A1	die Fahrkarte, -n	Hast du schon eine Fahrkarte?	Do you already have a ticket?	10762
A1	das Fahrrad, -ä, er	Fährst du mit dem Fahrrad oder mit dem Auto?	Do you ride a bicycle or drive a car?	3640
A1	falsch	Das ist falsch.	That is incorrect.	618
A1	die Familie, -n	Meine Familie lebt in Spanien.	My family lives in Spain.	303
A1	der Familienname	Meine Familiennamen sind García González.	My family names are García González.	29554
A1	der Familienstand	Bei Familienstand musst du ledig ankreuzen.	For marital status, you need to check single.	10000000
A1	die Farbe, -n	Die Farbe gefällt mir gut.	I like the color.	1874
A1	das Fax, -e	Schicken Sie uns einfach ein Fax!	Just send us a fax!	14045
A1	Feier-(1)	z. B. Feierabend, Feiertag	For example, end of work, public holiday	10000000
A1	Feier-(2)	Am Montag ist Feiertag.	On Monday is a public holiday.	10000000
A1	feiern	Wir feiern heute meinen Geburtstag.	We are celebrating my birthday today.	1350
A1	fehlen(1)	Herr Müller ist nicht da, er fehlt schon seit drei Tagen.	Mr. Müller is not here; he has been missing for three days.	2204
A1	fehlen(2)	Was fehlt Ihnen?	What is missing?	2204
A1	der Fehler, –	Diesen Fehler mache ich immer.	I always make this mistake.	643
A1	fernsehen	Wollen wir heute Abend mal fernsehen?	Shall we watch TV tonight?	1504
A1	fertig(1)	Bist du fertig?	Are you ready?	314
A1	fertig(2)	Ist mein Auto schon fertig?	Is my car ready yet?	314
A1	das Feuer	Haben Sie Feuer?	Do you have a light?	694
A1	das Fieber	Mein Mann hat noch immer Fieber.	My husband still has a fever.	3237
A1	der Film, -e	Ich möchte gern diesen Film sehen.	I would like to see this film.	674
A1	finden	Wir müssen den Schlüssel finden.	We need to find the key.	220
A1	die Firma	Er arbeitet jetzt bei einer anderen Firma.	He now works at another company.	1148
A1	der Fisch, -e	Ich esse gern Fisch. Fleisch mag ich nicht.	I like to eat fish. I don’t like meat.	1863
A1	die Flasche, -n	Eine Flasche Bier, bitte.	A bottle of beer, please.	1618
A1	das Fleisch	Fleisch mag ich nicht.	I don’t like meat.	1582
A1	fliegen	Ich fliege nicht gern. Deshalb fahre ich mit dem Zug.	I don’t like flying. That’s why I take the train.	881
A1	abfliegen	Wann fliegst du ab?	When do you depart?	38301
A1	der Abflug	Der Abflug ist um 11.20 Uhr.	The departure is at 11:20.	10259
A1	der Flughafen	Kannst du mich zum Flughafen bringen?	Can you take me to the airport?	2171
A1	das Flugzeug	Das Flugzeug aus Berlin kommt heute später an.	The plane from Berlin will arrive later today.	1300
A1	das Formular, -e	Sie müssen dieses Formular ausfüllen.	You need to fill out this form.	10427
A1	das Foto, -s	Darf ich ein Foto machen?	May I take a photo?	1064
A1	fragen	Er möchte Sie etwas fragen. Wann kommen Sie?	He would like to ask you something. When are you coming?	299
A1	die Frage, -n	Ich habe eine Frage.	I have a question.	356
A1	die Frau, -en(1)	Das ist Frau Becker.	This is Mrs. Becker.	153
A1	die Frau, -en(2)	Guten Tag, Frau Schmitt!	Good day, Mrs. Schmitt!	153
A1	die Frau, -en(3)	Hier arbeiten mehr Frauen als Männer.	More women than men work here.	153
A1	frei	Ist der Platz noch frei?	Is the seat still free?	602
A1	die Freizeit	In meiner Freizeit spiele ich oft Fußball.	In my free time, I often play soccer.	7185
A1	fremd	Das weiß ich nicht; ich bin fremd hier.	I don’t know; I’m a stranger here.	6298
A1	(sich) freuen	Ich freue mich auf den Urlaub.	I am looking forward to the vacation.	1641
A1	der Freund, -e(1)	Das ist ein Freund von mir.	This is a friend of mine.	260
A1	der Freund, -e(2)	Das ist meine Freundin.	This is my girlfriend.	260
A1	früher	Früher waren wir oft zusammen im Kino.	We used to go to the movies together often.	622
A1	frühstücken	Am Sonntag frühstücke ich gern im Bett.	On Sundays, I like to have breakfast in bed.	6411
A1	das Frühstück	Möchtest du ein Ei zum Frühstück?	Would you like an egg for breakfast?	1633
A1	die Führung	Die Führung durch das Haus beginnt in 3 Minuten.	The tour of the house begins in 3 minutes.	3559
A1	für	Das ist für Sie.	This is for you.	31
A1	für(2)	Das ist der Schlüssel für die Haustür.	This is the key for the front door.	31
A1	für(3)	Das ist das Brot für morgen.	This is the bread for tomorrow.	31
A1	der Fuß, -ü, e	Der linke Fuß tut mir weh.	My left foot hurts.	1239
A1	der Fußball	Spielt ihr gerne Fußball?	Do you like to play soccer?	4872
A1	der Garten	Wir haben leider keinen Garten.	Unfortunately, we don't have a garden.	1878
A1	der Gast, -ä, e	Am Wochenende haben wir mehrere Gäste.	We have several guests over the weekend.	2136
A1	geben(1)	Kannst du mir bitte deinen Kugelschreiber geben?	Can you please give me your pen?	233
A1	geben(2)	Es gibt keine Karten mehr.	There are no more tickets available.	233
A1	geboren	Ich bin in Zagreb geboren.	I was born in Zagreb.	1181
A1	das Geburtsjahr	Das Geburtsjahr Ihres Sohnes, bitte?	Your son's year of birth, please?	10000000
A1	der Geburtsort	Bitte schreiben Sie Ihren Geburtsort auf das Formular.	Please write your place of birth on the form.	22313
A1	der Geburtstag	Herzlichen Glückwunsch zum Geburtstag!	Happy birthday!	1192
A1	gefallen	Das gefällt mir.	I like that.	516
A1	gegen(1)	Fahr nicht gegen den Baum!	Don’t drive into the tree!	290
A1	gegen(2)	Ich bin gegen diese Lösung.	I am against this solution.	290
A1	gegen(3)	Wer spielt gegen wen?	Who is playing against whom?	290
A1	gehen(1)	Ich weiß nicht, wie das geht.	I don’t know how it works.	106
A1	gehen(2)	Wie geht‘s?	How are you?	106
A1	gehen(3)	Jetzt muss ich (aber) leider gehen.	Now I have to (unfortunately) leave.	106
A1	gehen(4)	Ich muss zum Arzt gehen.	I need to go to the doctor.	106
A1	gehen(5)	Das geht nicht!	That doesn’t work!	106
A1	gehören	Wem gehört das?	Whose is this?	1272
A1	das Geld	Hast du noch Geld?	Do you still have money?	193
A1	das Gemüse	Gemüse brauchen wir auch noch.	We also need vegetables.	4861
A1	das Gepäck	Wollen Sie Ihr Gepäck mitnehmen?	Do you want to take your luggage with you?	3448
A1	gerade(1)	Da kommt er ja gerade.	There he comes just now.	183
A1	gerade(2)	Gehen Sie immer geradeaus!	Always go straight ahead!	183
